Customer_ID,Order_ID,Product_ID,Store_ID,Customer_Name,Age,Gender,Phone,Email,City,State,Pincode,Address,Product_Name,Category,Brand,Size,Color,Material,Order_Date,Quantity,Price_Per_Unit,Discount,Total_Price,GST,Payment_Method,Transaction_ID,Shipping_Provider,Shipping_Cost,Delivery_Status,Estimated_Delivery,Actual_Delivery,Store_City,Store_State,Return_Status,Review_Rating,Customer_Loyalty,Referred_By
f9892218,2cc95639-0,P6776,S6,Garima Devi,52,Other,02444677880,jonathaniyengar@example.net,Agartala,Chhattisgarh,992001,"422
Tank Marg, Meerut 074092",Jeggings,Women,Biba,XS,Blue,Rayon,2024-07-07,2,1836.24,0.07,3415.41,170.77,Credit Card,ee419df8-25e,India Post,111.81,Pending,2024-07-13,2024-07-13,Delhi,Arunachal Pradesh,Not Returned,2.9,Bronze,Udyati Kaul
ca3fbf88,9da6ede3-6,P4635,S9,Aachal Narayan,45,Other,+919752443201,basukevin@example.org,Rajpur Sonarpur,Assam,952715,"H.No. 54
Bumb Zila, Anantapur 526623",Midi Dress,Women,Soch,XL,White,Georgette,2025-02-17,3,4313.35,0.17,10740.24,537.01,Cash on Delivery,1e883238-0cc,Delhivery,101.06,Delivered,2025-02-21,2025-02-22,Kota,Bihar,Returned,1.7,Silver,
2223e501,e7cb23fa-3,P6535,S1,Chavvi Upadhyay,35,Female,6893633722,chaaya25@example.net,Bellary,Himachal Pradesh,357269,"H.No. 020, Lall
Gudivada 121936",Overcoat,Men,Manyavar,M,Red,Cotton,2024-12-26,4,2373.25,0.12,8353.84,417.69,Credit Card,58acb5c3-a06,BlueDart,106.18,Delivered,2024-12-29,2024-12-30,Tadipatri,Haryana,Returned,1.1,Bronze,
c39f958e,9b2b9888-c,P1818,S5,Inaya Sangha,56,Male,2058037043,naidudaniel@example.org,Visakhapatnam,Himachal Pradesh,802071,"H.No. 33
Jhaveri Nagar
Danapur 260050",Kameez,Men,Utsa,M,Maroon,Chiffon,2024-08-19,1,2732.76,0.13,2377.5,118.88,UPI,90d25846-477,BlueDart,32.08,In Transit,2024-08-22,2024-08-20,Bidhannagar,Goa,Not Returned,4.4,Gold,
7b6854d8,ae9fa8d4-6,P5393,S1,Ekapad Chahal,49,Male,09540216821,goelikshita@example.net,Hyderabad,Madhya Pradesh,395221,"644, Bahri Chowk
Tumkur-206668",Capes,Women,Soch,M,Green,Georgette,2024-04-25,1,1179.44,0.2,943.55,47.18,Credit Card,b0c4ec15-5c2,India Post,130.59,Delivered,2024-04-30,2024-04-30,Panihati,Arunachal Pradesh,Returned,3.9,Silver,Ekaraj Parsa
9c67b1f7,39f6768d-3,P2009,S5,Ishita Malhotra,24,Other,06272302072,bhavikamadan@example.com,Sagar,Gujarat,501255,"H.No. 08
Mohanty Ganj
Bhavnagar-199635",Tweed Coat,Kids,W,XL,Green,Cotton,2024-08-04,5,3107.11,0.02,15224.84,761.24,Net Banking,6796f3a7-f83,India Post,38.92,Cancelled,2024-08-10,2024-08-10,Farrukhabad,Nagaland,Returned,4.5,Platinum,
7e93eb4d,a6f7a8e3-5,P6596,S2,Ganga Gandhi,55,Male,02162997980,qnair@example.org,Danapur,Chhattisgarh,701447,"09/55
Ahluwalia Zila, Karawal Nagar 866351",Dhoti,Kids,Soch,L,Blue,Silk,2024-09-25,5,628.29,0.07,2921.55,146.08,UPI,88255bea-59e,India Post,99.23,In Transit,2024-09-29,2024-09-29,Mysore,Kerala,Not Returned,3.1,Bronze,
6ae6cdea,c8016e4c-c,P9389,S3,Anjali Virk,64,Other,01567634433,nehatara@example.org,Katni,Meghalaya,761822,"81/88
Sarkar Zila
Nagercoil 760814",Blazer,Women,FabIndia,XXL,Blue,Linen,2025-02-04,2,2866.0,0.15,4872.2,243.61,Cash on Delivery,faf20821-d44,Delhivery,96.01,In Transit,2025-02-10,2025-02-10,Tenali,Sikkim,Not Returned,4.1,Gold,
02b288b2,6fc768d6-5,P2224,S4,Lohit Solanki,58,Male,0874201604,bhagatforum@example.net,Hindupur,Rajasthan,896240,"H.No. 62
Kalla, Madhyamgram 326317",Lehenga,Women,Manyavar,S,Black,Cotton,2024-08-24,5,1547.17,0.29,5492.45,274.62,Debit Card,c32e18e2-797,Shadowfax,55.04,In Transit,2024-08-27,2024-08-28,Bally,Madhya Pradesh,Returned,2.2,Bronze,
f50525ab,0f26d060-e,P9982,S1,Zayan Rau,22,Female,05617303628,hardik86@example.net,Morena,Odisha,127378,"H.No. 61
Brahmbhatt Zila
Begusarai 837805",Shirts,Women,Soch,M,Maroon,Georgette,2024-07-25,3,1952.1,0.04,5622.05,281.1,Cash on Delivery,cb72681b-c96,Shadowfax,144.09,Delivered,2024-08-01,2024-07-31,Fatehpur,Mizoram,Returned,4.4,Gold,
5d815b1f,308460e4-d,P7354,S1,Anita Modi,48,Other,02023735199,ekaraj38@example.org,Sirsa,Bihar,384730,"H.No. 087
Yadav Road
Morbi-700020",Cardigan,Kids,FabIndia,L,Red,Linen,2025-03-14,3,716.65,0.25,1612.46,80.62,Debit Card,25cbfb30-517,India Post,131.09,Delivered,2025-03-21,2025-03-20,Warangal,Himachal Pradesh,Returned,1.8,Gold,
adce2250,8cf7fce8-6,P4601,S1,Nikita Koshy,65,Male,+917561668657,avithakur@example.net,Durgapur,Rajasthan,789208,"06
Hayer, Haldia 371121",Dhoti,Men,Biba,L,White,Chiffon,2025-02-14,4,3756.59,0.12,13223.2,661.16,Credit Card,9959333a-2ba,Delhivery,123.09,Pending,2025-02-21,2025-02-21,Durg,Sikkim,Not Returned,3.4,Bronze,
6c4aa388,4a5f02de-0,P3296,S6,Keya Vala,30,Female,06968640787,brarkrishna@example.org,Akola,Andhra Pradesh,428290,"H.No. 504, Chaudhuri Street
Jalgaon-882286",Overcoat,Kids,W,M,Red,Georgette,2024-08-10,3,2088.8,0.08,5765.09,288.25,Net Banking,360e1bf2-103,Delhivery,81.48,In Transit,2024-08-16,2024-08-16,Mango,Kerala,Returned,1.7,Gold,
6f368817,0edab302-e,P4730,S9,Yashica Sane,27,Female,+912703522099,okadakia@example.net,Katni,Gujarat,625366,"H.No. 34
Khosla
Etawah 614423",Raincoat,Women,Biba,M,Green,Rayon,2024-05-15,5,4451.14,0.12,19585.02,979.25,UPI,8bf9027c-314,Ecom Express,45.22,Delivered,2024-05-19,2024-05-19,Nagercoil,West Bengal,Returned,4.8,Gold,
34529e44,58c9e62a-8,P4020,S2,Alka Apte,64,Female,08695184756,wahabuppal@example.org,Siliguri,Madhya Pradesh,904367,"H.No. 52, Dutta Ganj
Tinsukia 302922",Dhoti,Women,W,S,Black,Georgette,2025-01-13,1,2768.74,0.18,2270.37,113.52,Debit Card,f2cf1628-351,Ecom Express,55.43,Pending,2025-01-16,2025-01-18,Dhule,Kerala,Not Returned,3.7,Bronze,
733c3e6c,53e58181-7,P1802,S8,Bhanumati Palla,48,Female,+917038577691,dayamaisharaf@example.net,Kolhapur,Himachal Pradesh,078137,"31/869, Yohannan Street, Haridwar-577225",Capes,Men,FabIndia,XS,Green,Rayon,2024-09-13,1,3744.39,0.09,3407.39,170.37,UPI,e29d6c9c-3c4,BlueDart,36.57,Pending,2024-09-16,2024-09-14,Unnao,Manipur,Returned,5.0,Gold,
f6f42939,1744c1e5-5,P3023,S1,Triya Bath,30,Male,05740661934,walianilima@example.net,Bharatpur,Meghalaya,139690,"23, Sodhi Circle
Ballia-678954",Bomber Jacket,Kids,FabIndia,M,Red,Chiffon,2025-01-09,3,4557.61,0.2,10938.26,546.91,Cash on Delivery,a69cce54-59d,Delhivery,76.48,Cancelled,2025-01-15,2025-01-13,Navi Mumbai,Uttar Pradesh,Returned,4.9,Gold,
90fbd44a,0c740c35-1,P6632,S9,Anmol Chada,27,Female,05566847969,agoel@example.com,Jalgaon,Nagaland,028773,"60/200
Khurana, Bhopal-379068",Lehenga,Men,Utsa,L,Red,Chiffon,2024-04-03,1,1513.58,0.13,1316.81,65.84,Cash on Delivery,1c97216e-14e,India Post,58.1,Pending,2024-04-10,2024-04-10,Sasaram,Tripura,Not Returned,1.8,Gold,
8d6c9772,a76a6c7b-9,P9092,S3,Hema Tak,61,Other,06140772972,gagan78@example.net,Khammam,Sikkim,592173,"40
Sehgal Ganj
Ichalkaranji 201326",Overcoat,Women,Manyavar,XL,Yellow,Chiffon,2024-05-23,3,3159.54,0.03,9194.26,459.71,Debit Card,5b8850e6-125,BlueDart,37.04,Delivered,2024-05-26,2024-05-28,Korba,Haryana,Not Returned,4.0,Silver,
597f300d,029fed97-c,P9777,S3,Chaman Char,56,Male,01026040696,jackdayal@example.com,Kulti,West Bengal,955470,"H.No. 21
Sawhney Zila, North Dumdum-161967",Suits,Women,W,XXL,Yellow,Georgette,2025-03-08,3,512.08,0.14,1321.17,66.06,Credit Card,e88d594b-741,Delhivery,79.99,In Transit,2025-03-14,2025-03-15,Indore,Uttar Pradesh,Returned,3.7,Silver,
99af5b8d,13a3b307-9,P9767,S1,Chanchal Batta,60,Male,06811799147,isami@example.com,Berhampur,Rajasthan,526423,"583, Ravel
Parbhani 868400",Tops,Men,Biba,S,Blue,Rayon,2024-12-19,4,4545.67,0.2,14546.14,727.31,UPI,7fd53c3e-fed,BlueDart,95.7,Pending,2024-12-24,2024-12-23,North Dumdum,Tripura,Not Returned,1.8,Gold,
018d034d,a6c3595e-9,P2133,S2,Ekaja Pal,64,Male,09918459051,svarty@example.org,Bhimavaram,Uttar Pradesh,694086,"H.No. 96, More Marg, Kishanganj 079793",Culottes,Women,Soch,XS,Red,Chiffon,2024-04-05,1,2419.58,0.25,1814.68,90.73,Net Banking,65b2778e-bb4,Shadowfax,53.47,In Transit,2024-04-09,2024-04-09,Saharanpur,Arunachal Pradesh,Returned,4.1,Gold,
1a753de9,e61ad042-4,P6107,S10,Yamini Chacko,47,Other,+913506108348,priya51@example.org,Hubli–Dharwad,Arunachal Pradesh,250782,"334
Baria Circle, Bally 186341",Blouse,Kids,Manyavar,L,Yellow,Linen,2024-10-20,3,2555.78,0.07,7130.63,356.53,Cash on Delivery,59925408-787,Ecom Express,82.33,In Transit,2024-10-25,2024-10-26,Latur,Maharashtra,Returned,4.6,Gold,
f933e6b3,ea50fe4b-5,P6409,S9,Anita Dixit,23,Other,+912474177165,balhaar43@example.net,Ozhukarai,Telangana,984657,"78/370, Pradhan Nagar, Farrukhabad-570468",Wrap Dress,Men,Soch,S,Blue,Chiffon,2025-02-15,3,3230.21,0.19,7849.41,392.47,Net Banking,7407fbe4-3a9,Shadowfax,89.02,Pending,2025-02-22,2025-02-21,Gurgaon,Goa,Returned,2.5,Gold,
94789749,bed54536-5,P4557,S4,Hritik Puri,52,Other,09939449851,akota@example.org,Berhampur,Kerala,772108,"91/976
Tak Road, Sambhal-808067",Raincoat,Men,Utsa,L,Blue,Chiffon,2024-12-06,2,4556.73,0.02,8931.19,446.56,Debit Card,332be03c-c32,Delhivery,122.25,Pending,2024-12-13,2024-12-13,Kota,Karnataka,Returned,5.0,Bronze,
bda9eb3d,d0ee47c2-e,P9731,S8,Manbir Nadig,24,Male,+910589116580,unni40@example.com,Akola,Maharashtra,281046,"H.No. 07
Dua Chowk
Bulandshahr 400816",Salwar,Kids,Biba,M,Green,Rayon,2024-04-10,4,3573.59,0.08,13150.81,657.54,Credit Card,4a193eb0-4f4,Delhivery,96.14,Delivered,2024-04-16,2024-04-14,Thrissur,Goa,Returned,3.5,Bronze,
e76c4e25,f7b84265-f,P9937,S10,Chatura Samra,61,Male,+919789684379,daksheshvenkatesh@example.net,Dindigul,Maharashtra,546444,"87/74
Shanker Street
Guwahati-691887",Culottes,Kids,Manyavar,M,Yellow,Silk,2024-06-28,1,4466.61,0.28,3215.96,160.8,Cash on Delivery,8fdef7f5-083,Shadowfax,47.13,Cancelled,2024-07-03,2024-07-05,Darbhanga,West Bengal,Returned,3.6,Gold,
8c888644,ce9a3cbb-e,P4583,S5,Eta Ganesh,43,Male,01805403184,sabharwaljoshua@example.net,Berhampore,Assam,066988,"H.No. 11, Bumb, Etawah 625258",Peplum Top,Kids,Soch,M,Yellow,Silk,2025-01-01,1,4147.57,0.07,3857.24,192.86,UPI,a120199a-454,Shadowfax,145.04,In Transit,2025-01-04,2025-01-06,Howrah,Bihar,Not Returned,4.6,Bronze,
7d23d9f0,3ac4593f-c,P5412,S7,Neel Munshi,45,Male,00098768628,evirk@example.org,Ichalkaranji,Goa,080633,"30
Dave Nagar
Muzaffarnagar 900723",Shawl,Women,Biba,L,Maroon,Cotton,2024-04-09,3,1808.95,0.03,5264.04,263.2,Cash on Delivery,e49ceb9c-e48,Shadowfax,36.26,In Transit,2024-04-16,2024-04-15,Amaravati,Himachal Pradesh,Not Returned,4.8,Platinum,
8197f9bc,cb8f64da-6,P1468,S8,Damini Rama,48,Male,7836903548,chakradev91@example.com,Mehsana,Goa,766552,"46/55, Grewal Zila, Indore-167993",Culottes,Kids,FabIndia,XS,Black,Chiffon,2024-12-21,1,3020.9,0.19,2446.93,122.35,Credit Card,7d3f1bd6-398,Shadowfax,73.2,Pending,2024-12-27,2024-12-25,Imphal,Himachal Pradesh,Not Returned,4.3,Gold,
8bf67644,98198d04-6,P3748,S5,Thomas Brahmbhatt,19,Male,08682882526,kalekritika@example.org,Dehradun,Andhra Pradesh,253514,"07
Bal Path, Bhalswa Jahangir Pur-323101",Coat,Men,Soch,XS,Red,Cotton,2024-06-11,2,953.64,0.15,1621.19,81.06,Cash on Delivery,589a9b0a-86e,Ecom Express,47.25,Pending,2024-06-17,2024-06-15,Khora ,Gujarat,Returned,1.1,Platinum,
380d4f9d,4bcf768d-6,P2359,S10,Raagini Gulati,44,Female,0074420727,rrastogi@example.net,Coimbatore,Tamil Nadu,158166,"H.No. 94
Solanki Chowk
Machilipatnam-570488",Churidar,Men,Manyavar,L,Green,Georgette,2025-01-29,5,4747.53,0.05,22550.77,1127.54,Debit Card,b4a829ed-5fe,Ecom Express,79.4,Delivered,2025-02-02,2025-02-02,Kavali,Karnataka,Not Returned,2.0,Platinum,
a0e3af71,7f6394e4-0,P8005,S1,Janani Srinivas,55,Male,3416677241,tanveertailor@example.net,Mehsana,Haryana,582519,"H.No. 381, Kurian Path
Bhavnagar 529772",Palazzo,Kids,Manyavar,XL,Blue,Georgette,2025-03-15,1,4838.35,0.05,4596.43,229.82,Credit Card,abf2d1f8-fce,Shadowfax,35.6,In Transit,2025-03-21,2025-03-23,Nadiad,Arunachal Pradesh,Not Returned,1.4,Silver,Amaira Bhatia
aac6e52a,3b4dde2d-7,P7178,S1,Abha Kamdar,37,Other,2657314517,udarsh98@example.net,Eluru,Sikkim,855622,"33, Kurian Road
Aurangabad 517727",Flared Pants,Kids,FabIndia,XS,White,Cotton,2024-10-25,4,4067.42,0.27,11876.87,593.84,UPI,3abeabc9-b84,BlueDart,117.01,Delivered,2024-10-29,2024-10-29,Nadiad,Telangana,Not Returned,4.9,Platinum,Leena Setty
167b21c8,50159ea4-2,P1380,S2,Rachita Kala,41,Other,+918373275318,tellavrinda@example.net,Kurnool,Arunachal Pradesh,031531,"H.No. 33, Bose Path
Alappuzha 505239",Culottes,Men,Utsa,S,Black,Rayon,2024-06-15,3,972.27,0.12,2566.79,128.34,Debit Card,23a7d140-433,Ecom Express,126.13,Pending,2024-06-18,2024-06-20,Raichur,Gujarat,Not Returned,2.5,Silver,
805515dc,63d2bdf3-7,P3797,S7,Finn Badal,42,Other,+914317351341,pranav19@example.com,Machilipatnam,Assam,690092,"99/28, Goswami Zila, Kamarhati-312320",Petticoat,Women,Soch,M,Red,Cotton,2024-12-10,2,4226.82,0.29,6002.08,300.1,UPI,7f76de86-190,Delhivery,82.15,Pending,2024-12-16,2024-12-17,Hindupur,Goa,Not Returned,1.3,Bronze,David Seshadri
5e56a134,b0be3c34-4,P4824,S1,Omkaar Subramaniam,50,Other,+919444385778,mugdha79@example.com,Medininagar,Himachal Pradesh,528639,"H.No. 44, Goel Zila, Bhind-716405",Leather Jacket,Women,Soch,XS,Yellow,Georgette,2024-06-10,4,4785.05,0.29,13589.54,679.48,Cash on Delivery,de7bb3d6-574,Delhivery,144.8,Pending,2024-06-16,2024-06-18,Hindupur,Telangana,Not Returned,3.2,Bronze,
ea865f47,34f2e2c8-7,P9760,S1,Gayathri Chauhan,41,Other,6915681264,vaggarwal@example.com,Yamunanagar,Uttarakhand,687277,"623, Murty Circle
Gudivada-035887",Tops,Kids,W,L,White,Georgette,2024-04-11,3,3268.87,0.03,9512.41,475.62,Debit Card,db1205ba-0da,Ecom Express,69.01,In Transit,2024-04-17,2024-04-18,Sagar,Odisha,Not Returned,2.4,Platinum,
d577ead2,36647a87-9,P3457,S6,Pranav Bera,45,Other,+915073192496,oakkiaan@example.com,Bhiwani,Odisha,793649,"773
Majumdar Street, Kamarhati-056007",Poncho,Men,Manyavar,XXL,Blue,Georgette,2024-12-27,2,4542.82,0.02,8903.93,445.2,Cash on Delivery,b109e8dd-1f4,India Post,85.04,In Transit,2024-12-30,2024-12-29,Warangal,Bihar,Returned,3.4,Gold,
9813e48b,657aacaf-3,P7561,S2,Osha Thaker,20,Other,+915275520700,muttitanvi@example.com,Bihar Sharif,West Bengal,954368,"77
Choudhry Nagar
Jodhpur 421484",Vest,Women,W,S,White,Cotton,2024-04-29,1,4426.11,0.03,4293.33,214.67,Net Banking,adc1f9c4-1de,Shadowfax,125.9,Delivered,2024-05-03,2024-05-02,Jalandhar,Madhya Pradesh,Returned,2.2,Bronze,
